"error","errorText","isin","mvUnitNotional","scenarioDate","scenarioSpecId","tradehubMessageId","type","zeroSimulation"
"false","","NO0010821598","0.10771656120878596","2009-02-03","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10767896500759891","2009-02-04","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10815262859923709","2009-02-05","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10765497409481405","2009-02-06","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10757772037719061","2009-02-09","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10818898164028153","2009-02-10","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1083866064238108","2009-02-11","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10827077802978885","2009-02-12","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10761309181392609","2009-02-13","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10811779640244995","2009-02-16","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10791278781663628","2009-02-17","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10788769842830129","2009-02-18","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
